// vid	name	description
c003_18	チアガール_ダビ	ホントはご主人なんか応援してないからね！\ダビのモナ姉さま応援用チアユニフォーム。
c003_89	3代目魔王_ダビ	ダビの夢！ダビの希望！\ダビが想像した魔王の姿。
c004_00	_ジェニファー	彼女にふさわしいスポーティなスカート。
c004_01	近所の_処容	爆走するチャイルド。伸縮性の高い戦闘服。
c004_02	親切な_処容	武器の数だけ推進力が増える特殊な戦闘服。
c005_00	沢木_なつめ	水鉄砲には照準機能がないので注意すること。
c005_01	疾走する_マルス	着用時の気分によって暴走する事があります。\ご注意ください！
c005_02	暴走する_マルス	弾丸装填完了！さぁ、復讐の始まりだ！
c007_00	加賀_京介	燃える漢、フェニックスの契約者。
c007_01	熱い_フェニックス	似ていると言うな！\フェニックスのシグネイチャーコスチューム！
c007_02	烈火の_フェニックス	炎で作られたフェニックスのシグネイチャーコスチューム！
c008_00	若月_杏子	女のアクセサリーは、やっぱりハンドグリップが最高よ！
c008_01	戦士_フリーガ	フリーガの魂が白く光る。
c008_02	闘志_フリーガ	フリーガの闘志が白く輝く。
c009_00	宇藤_仁	モデルガンでも意思さえあれば戦える！
c009_01	傭兵_ヘクトル	損害につきましては、お客様の負担となります…
c009_02	フィクサー_ヘクトル	命をかけて戦う傭兵のコスチューム。最高の耐久性を誇る。
c010_00	高梨_真理華	とにかく一生懸命働く看護師の衣装。
c010_01	虚勢の_デメテル	看護師になったから患者に注射をしてみようかな？
c010_02	虚栄の_デメテル	秘密の病院で発見されたデメテルの戦闘服。
c011_00	灰藤_不差子	真面目な歯科医大生だが、失敗ばかり。
c011_01	奉仕する_ディーノ	努力する彼女の戦闘服。努力しても間違うのは仕方ない。
c011_02	貢献の_ディーノ	熱心な彼女の戦闘服。頑張っても間違うのは仕方ない。
c012_00	武藤_龍蔵	ベテラン刑事のコート。
c012_01	血闘の_アガメムノン	戦う準備は万全。アガメムノンのコスチューム。
c012_02	最後の_アガメムノン	いつでもかかってこい。アガメムノンの真のコスチューム。
c013_00	桜川_かすみ	無頓着な着こなしが逆に可愛い天才少女。
c013_01	闇夜の_アルテミス	静かな夜。漆黒をまといしナイトドレス。
c013_02	月光の_アルテミス	冷たい夜。月光をまといしナイトドレス。
c014_00	藤堂_勝美	伝説の連隊長だった父に憧れる、新任の小隊長。
c014_01	星の_アストレア	十字のチャームはアストレアの象徴。
c014_02	銀河の_アストレア	アストレアの厳格さが一層際立つ黒真珠色のコスチューム。
c015_01	時期の_ヘレナ	ディテールにこだわって仕上げた彼女の基本的な服装。
c017_00	猛犬_コムギ	汚くならないよう、週に一度はお風呂に入れる事！。
c017_01	番犬_クーシー	信じて任せろ！番犬ワンちゃんの闘志を感じろ‼
c017_02	ディフェンス_クーシー	食らいついたら離さない！番犬ワンちゃんの闘志を感じろ‼
c018_00	八神_やよい	憂鬱な人形職人のコスチューム。
c018_01	ちび_コレー	人形師コレーのコスチューム。\オプションで話す人形はいかがですか？
c018_02	未熟の_コレー	人形師コレーのコスチューム。姉妹品は、憑依された人形です。
c019_00	漆原_静音	新米教師の熱意に服から汁が滴り落ちる。
c019_01	激情の_エリス	無慈悲なエリスの戦闘衣装。
c019_02	憤怒の_エリス	無慈悲なエリスの戦闘衣装。怒りの炎で戦闘力が上昇した。
c020_00	油川_愛紗	怠惰な猛獣の武器は、サイコロで十分である。
c020_01	危険な_フォルトゥナ	ギャンブラーフォルトゥナの勝負服。
c020_02	勝負師_フォルトゥナ	ギャンブラーフォルトゥナの大一番の勝負服。\この服を着て負けた事は無い。
c022_00	坂巻_豊	ボクが布団の夢を見ているのか、\布団がボクの夢を見ているのか。
c022_01	怠惰の_マヤウェル	過度のゲームは成長期の美少年の視力に悪影響を与える。
c022_02	情けない_マヤウェル	マヤウェル・レベルアップ。ステータスUP完了。
c022_10	メイドモード_マヤウェル	美少年マヤウェルの《美少女恋愛ゲームのコスプレ》\マヤウェルが全力で美少女を演じている。
c024_00	隣の_ルーファス	主人公の服を借りたため丈が短い。\失業者に扮している。
c024_01	_ルーファス	ルーファスの魔界直輸入オーダーメードスーツ。
c024_02	大公_ルーファス	真の力を解放したルーファスの貴公子コスチューム。
c026_00	鏡野_有紗	久しぶりの外出ですか？このスカートをお勧め致します。
c026_01	歓喜の_オーロラ	「魂の喪失」ブローチは、一生物の逸品です。
c026_02	狂喜の_オーロラ	ブローチをよ~くみて？何か変わってない？
c027_00	黒笠_影子	ヒーローに憧れる中学生。
c027_01	目覚めた_キンティア	ヒーローのマント絶賛販売中。男女共用です。
c027_02	真_キンティア	ヒーローになりたい？まずはマントを用意しよう！
c028_00	剱持_美琴	1万円が欲しくて悪魔と契約した女。
c028_01	成功した_レダ	レダ様ナイスバディー！何処までも付いて行きます！
c028_02	輝く_レダ	レダ様ナイスバディー！そのおみ足に踏まれたい！
c028_10	デイドリーム_レダ	あなたの妄想から生まれたレダ女王にひざまずけ！
c029_00	朝比奈_晴恵	夜を恐れるフリーランスの翻訳家。
c029_01	夜の_セレーネ	月の女神は、雲を纏う。
c029_02	月の_セレーネ	月の女神は、光を纏う。
c030_00	サラ_J	自分の推理を証明するために悪魔と契約した探偵。
c030_01	さすらいの_少女探偵	転んでも絶対破れない！\さすらいの少女探偵専用コスチューム。
c030_02	ハードボイルド_少女探偵	着用時の事件解決率は100％！\ハードボイルド探偵専用コスチューム。
c031_00	_チビ	しっぽに残ったご主人様の優しさは忘れないニャ～♥
c031_01	純真な_フレイヤ	着用時、動く物を見ると、追いかけたくなりますので、注意してください。
c031_02	純粋な_フレイヤ	着用時には語尾にニャ～が付くようになりますので、注意してくださいニャ～！
c032_00	谷川_佐奈	世界一のメイドになることを夢見る少女。
c032_01	にぎやかな_アレクト	いつでも呼んでご主人様！寝ても覚めてもメイド服を着ているぞ！
c032_02	休まない_アレクト	メイド服を着れば、恐れるものは何もない！
c033_00	桃木_沙英	緑は初恋を忘れられない少女の傷を癒す色。
c033_01	静かな_ダイアナ	純潔な少女、森の王となる。
c033_02	隠遁する_ダイアナ	純潔な少女、森の守護神となる。
c034_00	大川内_朋美	空想する司書。\読書は空想家の最大の武器。
c034_01	怠惰な_ムネモシネ	体にフィットするムネモシネの戦闘服。
c034_02	高慢な_ムネモシネ	体にフィットし、少し痩せて見えるムネモシネの戦闘服。
c035_00	桐島_かんな	優等生の少女のリボンは、父の形見。
c035_01	明け方_ベルセポネ	交渉の基本はきちんとした服装です。
c035_02	束縛の_ベルセポネ	これが魔界の最先端トレンドです！\…お客様いかがですか？
c036_00	今宮_紗彩	全てを包み込むコスチューム。スタイルを気にする必要がありません。
c036_01	浪費家_エルメス	中古品を扱うエルメスのコスチューム。\センスなんて気にしない。
c036_02	バイヤー_エルメス	中古品を扱うエルメスのコスチューム。\流行なんて気にしない。
c036_10	コレクター_エルメス	エルメスのための特注限定カラージャージ。
c037_00	人間界の_ユダ	裏通りを牛耳るユダの普段着。コワ可愛い。
c037_01	_ユダ	男ならレザー！汗がだらだら流れようと気にせず着るべし！
c037_02	闇王_ユダ	なんか暑くない？暑いなら、その服ぬげよ…
c038_00	アレシャ_ブラッドリー	海辺ではしゃぐオーストラリアから来た少女。
c038_01	意地悪な_カリプソ	青は鮮やかな愛の色と言い張る彼女だけのコスチューム。
c038_02	魅了の_カリプソ	愛には勇気が必要。だが、海で溺れるつもりはない…
c039_00	森田_由里	ネットで人気の塾講師は、孤独を求める。
c039_01	憤怒の_モリーユ	女性らしい衣装と聞いて着用したが、騙された気分だ。
c039_02	献身の_モリーユ	魅力的な衣装と聞いて着用したが、騙された気分だ。
c040_00	高木_静	仕事にうるさい事務員は、こんな服を着る。それが規則です！
c040_01	秩序の_シャマシュ	《ウサギこそ正義の動物》…それって一体誰が決めたルール？
c040_02	遵法の_シャマシュ	正義のウサギに慈悲はない。くらえラビットパンチ！
c041_00	暗黒街の_マティ	復讐を誓ったマフィアの女ボス。
c041_01	夜の_ティアマト	黒すぎて、ベルトがどこかわからなくなるので、\注意すること。
c041_02	深淵の_ティアマト	「仮面を脱いだら美人だった！」という設定は外せない。
c043_00	米井_莉花	このコスプレならアメリカに行く資格だってあるはず！？
c043_01	自尊心の_ヘラ	そこのあなた！そうです、あなたです！いや、あなたじゃない！\あんただよ、このぉ！
c043_02	傲慢の_ヘラ	パッと笑顔で銃口をむけられた時こそ！あなたの真価が問われます。
c043_10	レッドスター_ヘラ	ヘラの銃口があなたのハートにロックオン！
c044_00	西山_弘行	放浪するニートは風の如し。
c044_01	空回り_パンテオン	チャイルドになっても生活が変わる事はなかった…
c044_02	放浪者_パンテオン	貧乏の二刀流なんて...油断できない！
c045_00	日野_亜里沙	レッスンルームに押しかけたカメラマンに\とびっきりのスマイルを贈ろう。
c045_01	歌う_アリア	アイドルの汗は、努力の結晶！
c045_02	歓喜する_アリア	さて、舞台に上がる時間です！みんなお待たせっ！
c045_10	クリスマス_アリア	Noel〜Noel〜♪\人間も悪魔もアリアのライブを楽しんでね！
c045_11	ハイライト_アリア	全力で行くよ！みんなで一緒に！\《L・O・V・E！ラブリーアリア！》
c045_12	ブレイクタイム_アリア	プラネットパーティーに出会った運命の日。
c045_89	ハイライト_アリア	全力で行くよ！みんなで一緒に！\《L・O・V・E！ラブリーアリア！》
c047_00	加賀美_らん	頼まれると断りきれない小心者の女子高生。
c047_01	黒炎の_ヘスティア	うざいヤツは全部燃やしてしまえ！炎のコスチューム。
c047_02	白炎の_ヘスティア	マグネシウムの燃焼のような純白のコスチューム。
c048_00	浦江_めい	不幸な少女の呪いを受けた服。お土産に強くお勧め。
c048_01	憂鬱な_ネヴァン	ネガティブ、自虐的、毒舌の３拍子がそろえば完璧。
c048_02	愛憎の_ネヴァン	彼女は毒を宿している。愛憎という猛毒を…
c048_10	乳母役の_ネヴァン	舞台《ロミオとジュリエット》の乳母役の\コスチューム。フレイの乳母ではない。
c049_00	修道女_ロゼッタ	安らぎを求め悪魔召喚の儀式を行う修道女。
c049_01	迷える_マアト	この修道服は、神の前では着用禁止！
c049_02	盲信の_マアト	悪魔にも、時には魂の安息が必要です。
c049_10	深淵の_マアト	すべての闇の眷属よ、夜の主よ、聞け！\マアトの深淵が作り出した闇の衣装。
c050_02	暴君_オード	悪魔オードの覚醒した真の姿。
c051_00	人間界の_フレイ	魔力を節約するために子供の姿になったフレイ。
c051_01	_フレイ	このメッシュTシャツは、フレイ様しか着こなせない！
c051_02	悪童_フレイ	魔界のエリート、悪童フレイとは俺の事だ！
c051_12	ティボルト役の_フレイ	舞台《ロミオとジュリエット》のティボルト役の\コスチューム。リザは俺を見ている。
c051_21	呪われた人形_フレイ	フレイのセクシーボディはどこかへ消えた。
c052_00	原子内_美喜男	スーツに隠れる営業担当者の狂気…
c052_01	狂言の_ベリト	このような服を着た人に声をかけられたら、\無条件に逃げてください。
c052_02	欺瞞の_ベリト	このような服を着た少年に声をかけられたら、\可愛くてもついていかないように！
c053_00	天宮_知恵	きれいな服を買ってきても、心は満たされない。
c053_01	躊躇する_メティス	人形のような彼女。喋らない理由は、言葉が必要ないから…
c053_02	天眼の_メティス	人形のような彼女。\一針一針丁寧に作られたゴシックスカートに気品を感じる。
c054_00	忍田_一鷹	武道家の祖父と父に一羽の鷹と名づけられた少女。
c054_01	守護の_レジェンド	主君への忠誠心が込められている忍者っぽくないコスチューム。
c054_02	伝説の_レジェンド	伝説の伝説が今始まる…
c056_00	早乙女_ミア	絶対者の存在を信じて疑わない司祭。
c056_01	犠牲の_ジャンヌ	悪魔らしく戦ってくれればいいのだが...
c056_02	献身の_ジャンヌ	悪魔にも福音を伝えるような敬虔さが感じられる。
c057_00	_ランフェイ	彼女に逆らってはいけない。無事でいたければ…
c057_01	_ランフェイ	こんな店員さんがいたらショッピングに集中できないよ。
c057_02	黒星_ランフェイ	致命的な美しさ…
c058_00	_ニルティ	祓魔師の修練服。
c058_01	祓魔師_ニルティ	チャイルドのイメージがそのまま表れた服装である。
c058_02	羅刹_ニルティ	強靭一振りの刃となろう。
c060_00	榊原_瑠璃美	頭の先からつま先まで白。
c060_01	逆襲の_ティシフォネ	後ろ姿が気になったとしても、安易に近寄ってはいけない！
c060_02	復讐者_ティシフォネ	危険度と魅力が比例するのが女性である。
c061_00	藤原_詩音	名家の一人娘は、自由と天啓と音楽を求める。
c061_01	無名の_セイレーン	最高の舞台は衣装選びから！
c061_02	深夜の_セイレーン	悪魔的なインスピレーションが湧いてくる！
c062_00	指川_敦子	生まれついての美貌とは裏腹に、\経験したことのない恋愛に憧れる女子高生。
c062_01	香る_エウロペ	美しい花にはトゲがある。触れるのは自己責任で…
c062_02	魅惑の_エウロペ	この美しさがわからないって？それは深刻な問題だ。
c063_00	井ノ口_昭美	内気な少女が書いた手紙の宛て先とは？
c063_01	内気な_フリージア	手紙はポストに入れましょう。
c063_02	憶測の_フリージア	気持ちを込めた言葉なら1文で十分。
c064_00	岩井_晶子	メデューサの品格を一層高めるコスチューム。 
c064_01	君臨する_メデューサ	メデューサの格式ある戦闘服。
c064_02	覇王_メデューサ	メデューサの闘志を秘めた戦闘服。
c064_88	覇王_メデューサ	
c064_89	君臨する_メデューサ	
c065_00	尼宮_亜夢	社会人って大変ね。
c065_01	開花の_エラト	美しさが花開く…
c065_02	百花繚乱_エラト	服に合う香水は用意頂けましたか？
c066_00	黒埼_陽平	チェスは詐欺のゲーム。笑顔に騙されてはいけない。
c066_01	独善的な_アテン	表情を隠せ。心を読まれないように。
c066_02	策略家_アテン	1+1=2！知力が向上したようだ。
c067_00	草野_作治	健康な若者たちは着用禁止。
c067_01	未知の_タナトス	黒色は死と滅亡の色。
c067_02	超然な_タナトス	黒色は安息と永遠の平和の色。
c068_00	佐藤_詩織	エプロンのおかげで服は守れたが、料理は守れなかった。
c068_01	挑戦の_アムブロシア	ソーセージが難しい料理だって事、知ってるかい？
c068_02	美食の_アムブロシア	食後のデザートを頼むよ？
c069_00	桐原_亮平	スパナは武器ではありません。工具です。
c069_01	修復の_プタハ	このスパナは工具ではありません。武器です。
c069_02	調整の_プタハ	愚か者は、このスパナでネジを締めてやろう。
c072_00	中山本_博嗣	戦士を夢見る、いじめられっ子。
c072_01	探索者_フェンリル	口数の少ないニヒルな男の戦闘衣装。
c072_02	影の_フェンリル	自分が死んでも敵は必ず殺す！必殺の戦闘衣装。
c073_00	双葉_杏	悲観主義な雑貨屋の店主。
c073_01	自嘲の_ナヴィ	ナヴィの冷たい、ため息のこもったドレス。
c073_02	うつろな_ナヴィ	ナヴィが流した涙で作られたドレス。
c074_00	吉田_喜子	ネオンカラーのポンポンがなくても\掃除用具のはたきで応援！
c074_01	頑張る_キリヌス	マンボウは悪魔の友達。
c074_02	熱烈応援_キリヌス	応援してもらいたい悪魔にお勧め！
c075_01	濃香の_タハ	タハが直接選んだブラックカラーのホルターネックミニドレス。
c082_00	加納_悠	着用時、洞察力が上昇する。残念だが、不運は必須オプション。
c082_01	技巧の_カルカス	赤い腕章がカジュアルでテクニカルなジャケット。
c082_02	予言の_カルカス	クリーム色のカラーで爽やかなイメージを与えるカルカスのカジュアルなジャケット衣装。
c083_00	上坂_怜	バッグの検査致します。はい、火器所持は没収です！
c083_01	戦場の_ネイト	着用時に戦闘意欲が上昇する。
c083_02	戦術家_ネイト	着用時に戦闘力が上昇する。敵味方の識別が出来なくなるので、注意すること！
c085_01	毒舌家_パリス	（削除）満足することを知らない男を捕らえたクリエイティブルック。
c086_00	原田_響子	無認可魔女の作ったスープは絶対に食べないでください。
c086_01	調味の_ゴガ	料理は真心！ゴガの戦闘衣装。
c086_02	風味の_ゴガ	料理は愛情！ゴガの戦闘衣装。
c087_01	純白の_ニヌルタ	激戦で生き残る為のニヌルタの衣装である。
c090_00	凛堂_圭斗	足が不自由だが野望を抱く財閥の子息。
c090_01	再生の_ヴァルカン	クラシックなマペットの心を捕らえるコスチューム。
c090_02	復活の_ヴァルカン	エレガントなマペットの心を捕らえたルネサンスルック。
c091_00	宮守_百合子	警備員にあるまじき、攻撃的な服装。
c091_01	守護の_マイラ	マイラの凶暴な本性が顕わになった姿。
c091_02	忠誠の_マイラ	マイラの力が解放された。\何ぴとたりとも近づくことはできない。
c092_01	潔癖の_エアムド	エアムドの剣の腕が分かる戦闘服。
c095_00	久藤_久美子	傷が増えても努力する！
c095_01	熱血_ヴェスタ	着用すると、誰にでも決闘を申し込むことができます！
c095_02	情熱の_ヴェスタ	勝利へのこだわりが込められた戦闘衣装。
c099_00	岡沢_茉鈴	アイドルがヘビーメタルやって何が悪いの？
c099_01	退屈な_メルポメネ	着用したところ、声がアップデートされた！
c099_02	轟音の_メルポメネ	やはりロックは長髪で！
c101_00	春日井_奈波	可愛すぎる小学1年生。
c101_01	純粋な_シュリンクス	心優しいシュリンクスの戦闘衣装。
c101_02	賛美する_シュリンクス	思い切って悪魔にも親切にする事を\決めたシュリンクスの戦闘衣装。
c106_01	復讐の_メーデイア	一緒に話す人形が付いてきます。
c106_02	陰謀の_メーデイア	一緒に呪われた人形が付いてきます。
c107_00	勅使河原_雅人	サングラスをかけても、単純な頭の中はお見通しです。
c107_01	燦爛たる_アポロン	ダンサーアポロンの戦闘衣装。腰の動きを止められない。
c107_02	崇拝する_アポロン	太陽のダンサーアポロンの戦闘衣装。ある一点に視線が集中する。
c107_10	_トリポロン	アトレ秋葉原のトリとコラボレーションした\アポロンのコスチューム。
c110_00	佐久間_善浩	テディベア業界では、かなり有名な作家。
c110_01	執念の_フリンス	機能性ゼロ。\スタイリッシュさを追究したレザースーツ。
c110_02	勝負師_フリンス	防寒性ゼロ。\情熱的なデザインを追究したレザースーツ。
c110_10	クリスマス_フリンス	聖夜の雪をも溶かす、燃える男のレザースーツ。
c112_00	来栖_誠一郎	真理についての真剣な苦悩は、成長期の青少年特有の症状。
c112_01	求道者_エリオス	求道者エリオスの苦悩が込められた戦闘衣装。
c112_02	賢者_エリオス	知恵の守護者、エリオスの意志が込められた戦闘衣装。
c113_00	御堂_かやの	クマエの契約者の服である。
c115_00	弦巻_詩乃	ひき逃げ事故で非業の死を遂げた女子高生。
c115_01	悲しみの_ソネット	どんな音楽を演奏しても聴衆を悲しませる効果を与える。
c115_02	和解の_ソネット	どんな音楽を演奏しても聴衆を泣かせる効果を与える。
c116_01	鋭い_プルート	チャイルドプルートの基本的な服装である。
c117_00	来栖_綾女	若い魔女は悪魔に目を付けられやすい…
c117_01	誠実な_ヤーガ	魔女はほうき。ほうきは魔女。わかりますか？
c117_02	敬虔な_ヤーガ	魔女の公式ユニフォーム。
c120_00	如月_蕾	朝顔の花言葉は「嬉しいニュース」だと言う...
c120_01	野原の_フローラ	野花の香り漂うフローラの戦闘衣装。
c120_02	自由な_フローラ	春の陽気漂うフローラの戦闘衣装。
c121_00	野々村_ノリオ	一人になりたい時は、落ちぶれた天才ミュージシャンルックを着てみよう。
c121_01	夜の_ミューズ	楽器は振り回す物ではなく、演奏する物だ。
c121_02	轟音の_ミューズ	Eマイナーしか知らなくても、なんだかかっこよく見えるミューズのコスチューム。
c123_00	金田_香峯子	祖父のコネで大企業に就職した企画チーム長。
c123_01	創造の_バフォメット	未来的で創造的でなければ満足できないバフォメットのコスチューム。
c123_02	歓声の_バフォメット	創造的孤独。まだ見ぬ境地を目指すバフォメットのコスチューム。
c124_00	人間界の_イブ	人間の少女になりすました悪魔イブ。
c124_01	禁断の_イブ	カボチャスカートを着てもセクシーなのはイブだけだ。
c124_02	原罪の_イブ	戦闘力が上昇し、方向感覚が減少…
c124_10	サイアンローズ_イブ	夜明けの冷たい閃光、青いバラの花の夢。
c124_11	クリスマス_イブ	今夜のイブは、クリスマス限定！
c124_12	レイシアフォーム_イブ	BEATLESSコラボ、\レイシアをイメージしたイブの専用スーツ。
c125_00	仙石_誠二	ルサルカの契約者に片思いする高校生。
c125_01	喜劇の_アルティス	純粋な心で精錬したアルティスの剣。
c125_02	誓剣の勇者_アルティス	愛するルサルカのための誓いの剣。
c125_10	ロマンティック_アルティス	この恋が茨の道でも、僕の想いは変わりません！
c125_89	ロマンティック_アルティス	僕の恋路は、誰にも邪魔などさせません！
c126_00	星田_桃美	初恋の痛みを克服した少女の明るい笑顔。
c126_01	あなたの_サルマキス	おもちゃ屋で購入可能。量産型魔法少女変身スーツである。
c126_02	君だけの_サルマキス	おもちゃ屋には、真似できないサルマキス専用変身スーツである。
c127_00	小栗_奈津季	雨の日、傘がなくても猫がいればいい日となる。
c127_01	野生の_バステト	なぜか、皆が見て見ぬふりをする…
c127_02	幻夜の_バステト	この服を着こなしたければ、猫歩きを練習すること。
c127_10	再臨_バステト	魔力を帯びた金糸で刺繍されたバステトのファラオ衣装。
c129_01	名誉の_ニケ	チャイルドニケの基本的な服装である。
c130_00	曲沼_神楽	若白髪は、ミュージシャンの宿命。
c130_01	名将_ゲニウス	希代の音楽家、ゲニウスの戦闘服である。
c130_02	マスター_ゲニウス	完璧主義の芸術家、ゲニウスの戦闘服である。
c131_00	尾田_明彦	チャイルドオシリスの契約者の服である。
c131_01	帰還した_オシリス	チャイルドオシリスの基本的な服装である。
c132_00	尾田_明弘	その日暮らしの生粋の遊び人。
c132_01	余裕の_ミダス	ゆったりとした気品が感じられるミダスのスーツ。
c132_02	耽美の_ミダス	饗宴に最もよく似合うミダスのスーツ。
c133_00	光国_礼佳	スポーツ界の妖精の女王を夢見るバレーボール少女。
c133_01	決戦の_ティタニア	キラキラ輝いて見えるのは、ティタニアの魅力です。
c133_02	大団円_ティタニア	自称魔王争奪戦のマスコット的存在、ティタニアの戦闘服である。
c135_00	要_みおり	猫が似合う妹がの服装...
c135_01	戦士_ヴァルキリー	高慢なあなただけの戦士、ヴァルキリーの戦闘服。
c135_02	孤高の_ヴァルキリー	孤高なのに、あなただけの戦士、ヴァルキリーの戦闘服。
c139_00	篠原_しほ	気が小さくてもいいから、一度は着てみてたら？
c139_01	花園の_ポモナ	花びらの中に隠れていたポモナを発見した。
c139_02	隠れた_ポモナ	森の中に隠れていたポモナを発見した。
c140_01	監視する_ノーデンス	ノーデンスの基本コスチューム。
c141_00	射手矢_弓美	片思いしている彼に勝ってしまったアーチェリーの天才の切ない事情が込められた服装いる。
c141_01	独白の_アモール	孤独なソロ限定100％の命中率を誇るアモールの戦闘服である。
c141_02	片思いの_アモール	愛の素晴らしさを知らない悪魔限定100％命中率を誇るアモールの戦闘服である。
c142_00	寝占_ルイ子	睡眠不足で、暗くてじめじめした目つきが補欠悪魔と似ている。
c142_01	夜の娘_ヒュプノス	夢の中で見たような…気のせいか？
c142_02	夢想家_ヒュプノス	悪夢の中で見たような…気のせいか？
c144_01	夜祭り_メディア	お子様にぴったり！魔女になれるキッズ用コスチューム。
c147_00	権田_冬治	「お客様、わからない事があったら何でも聞いてください」\と親切に言われてもすごく怖い。
c147_01	狂乱の_バアル	何でも破壊してしまいそうなバアルの戦闘服。
c147_02	鮮血の_バアル	ズタズタに切り裂かれてしまいそうなバアルの戦闘服。
c148_00	北爪_珠里亜	グラフィティは、自由な若者の象徴！落書きなどではない！！
c148_01	道化師_イナンナ	頭を預けたい理由はなんだろうか？
c148_02	暴君_イナンナ	集合写真を取る時は、こんな顔はしないように…
c149_00	海老名_英花	新米教師は、常に熱意に満ちている。
c149_01	躊躇する_ルサルカ	水の中では、迷わない。
c149_02	告白の_ルサルカ	今のルサルカならどこでも歌える。
c152_00	_ヘーベ	最高のカクテルを味わいたいならバーREPLAYへどうぞ。
c153_00	塩塚_思帆	幼い頃から両親と世界中を旅する少女。\いよいよ一人旅を始める。
c153_01	冒険家_エポナ	目指すは魔界の果てまで！荷物は最小限に！
c153_02	放浪する_エポナ	歩いた所が道となり、たどり着いた場所が目的地！
c154_00	京_太一	新人刑事は服装だけ見てもチガナは、法で。
c154_01	厳しい_トート	整理された彼の魅力は息が詰まるほどだ…
c154_02	厳格な_トート	厳格な彼のカリスマは息が詰まるほどだ…
c155_00	天音_奏恵	デビューから10年目のベテランアイドル。
c155_01	シンガー_エコー	エコーの美しい歌声を響かせるマイクとスピーカー。
c155_02	アイドル_エコー	エコーの歌声に反応して発光するマイクとスピーカー。
c156_00	桔梗谷_貴理子	彼女の瞳は何を見て来たのか…\謎多き美女。
c156_01	支配者_エリザベート	世界を嘲笑する貴婦人、エリザベートの戦闘服。
c156_02	女帝_エリザベート	悪魔に号令をかける女帝、エリザベートの戦闘服。
c158_00	瓶内_河子	水泳じゃなくて恋愛がしたい…
c158_01	夢見る_ナイアス	どうしても逃がしたくない！そんな時は足ひれ装着！
c158_02	乙女の_ナイアス	ハンサム一本釣り！あれ、自分が釣られちゃった？
c158_10	マリンフラワー_ナイアス	欲しい物なら何でも奪うのよ！\強欲なナイアスの華麗なドレス。
c159_01	あかつきの_セメレー	セメレーのヘアカラーに合わせた古風なレザースカート。
c160_01	アンドロイド_サラ	無邪気なアンドロイド。笑顔だけはプロ級のサラのコスチューム。
c161_01	審判の_ユステティア	ユステティアの基本的コスチューム。
c164_00	東雲_奈織	頭からつま先まで、体も心もしっかり捕まえていて！
c164_01	束縛の_イシュタル	自らの心の中に閉じこもってしまったイシュタルの戦闘服。
c164_02	解放の_イシュタル	自由の翼を広げたイシュタルの戦闘服。
c167_00	温泉街の_メイ	温泉街でバイトする、コウガの契約者。\孤独だが、たくましく生きる少女。
c167_01	日向の_コウガ	あなたとの春を記憶するコウガのドレス。
c167_02	化身の_コウガ	あなたとの春を夢見るコウガのドレス。
c169_00	鏡野_有沙	私に似てるけどちがう笑顔をする欲望の破片。
c169_01	嬉しい_エウロス	ただあなただけのためのチョコレートを用意したの～
c169_02	光輝の_エウロス	心が込められたチョコレートだよ。食べてくれないと少し寂しいかも…
c172_00	唐傘_かさね	ハーレム街のために祈る修道女見習い。
